fid,School ID,School Name,Division / Province,Municipality / City,School Classification,Latitude,Longitude,Fault_fid,Fault_School ID,Fault_School Name,Fault_Division / Province,Fault_Municipality / City,Fault_School Classification,Fault_Latitude,Fault_Longitude,Fault_HubName,Fault_HubDist,River_HubName,River_HubDist
14,405348,Davao Central College (Toril),Davao del Sur,Toril,Private,7.014648,125.499329,14,405348,Davao Central College (Toril),Davao del Sur,Toril,Private,7.014648,125.499329,EOS_AF1783,147347.626544086,Lipadas River,1305.86746423412
15,405404,St. Michael's School of Padada,Davao del Sur,Padada,Private,6.63665,125.345294,15,405404,St. Michael's School of Padada,Davao del Sur,Padada,Private,6.63665,125.345294,PHL_22,17808.0967379347,Padada River,4730.5141979729
16,405413,Maryknoll High School of Lambajon,Davao Oriental,Lambajon ,Private,7.616404,126.5628931,16,405413,Maryknoll High School of Lambajon,Davao Oriental,Lambajon ,Private,7.616404,126.5628931,EOS_AF1783,110562.888620101,,417.096777722891
17,405414,St. Mary's Academy of Baganga,Davao Oriental,Baganga,Private,7.574229,126.5614978,17,405414,St. Mary's Academy of Baganga,Davao Oriental,Baganga,Private,7.574229,126.5614978,EOS_AF1783,113716.587755846,,16189.4109899722
18,405415,"Colmenares Learning Center, Inc.",Davao Oriental,Banaybanay,Private,6.964052,126.0046488,18,405415,"Colmenares Learning Center, Inc.",Davao Oriental,Banaybanay,Private,6.964052,126.0046488,EOS_AF1783,149385.221681135,Piso River,3192.93520049194
19,405425,"Santo Niño School of Mati, Inc.",Davao Oriental,Mati,Private,6.945685,126.2316321,19,405425,"Santo Niño School of Mati, Inc.",Davao Oriental,Mati,Private,6.945685,126.2316321,EOS_AF1783,156481.314315184,Bitanagan River,8223.85983397694
20,405424,Mati Polytechnic College,Davao Oriental,Mati,Private,6.958092,126.2198444,20,405424,Mati Polytechnic College,Davao Oriental,Mati,Private,6.958092,126.2198444,EOS_AF1783,154802.545035987,Bitanagan River,7392.71301630143
21,304230,Tanglaw NHS,Davao del Norte,Braulio E. Dujali,Public,7.445796,125.648689,21,304230,Tanglaw NHS,Davao del Norte,Braulio E. Dujali,Public,7.445796,125.648689,EOS_AF1783,97133.2187736541,Tuganay River,1000.05261579428
22,304233,Kapalong National High School,Davao del Norte,Kapalong,Public,7.581992,125.703318,22,304233,Kapalong National High School,Davao del Norte,Kapalong,Public,7.581992,125.703318,EOS_AF1783,81181.5249586839,Libuganon River,11489.0602271192
23,304237,Kimamon National High School,Davao del Norte,Santo Tomas,Public,7.549834,125.689897,23,304237,Kimamon National High School,Davao del Norte,Santo Tomas,Public,7.549834,125.689897,EOS_AF1783,84949.5031273385,Salaw River,5478.88165869979
24,304248,New Corella National High School,Davao del Norte,New Corella,Public,7.584384,125.826952,24,304248,New Corella National High School,Davao del Norte,New Corella,Public,7.584384,125.826952,EOS_AF1783,79610.7917630914,Limbaan River,240.041448707613
25,304251,Sawata National High School,Davao del Norte,Asuncion,Public,7.746781,125.735124,25,304251,Sawata National High School,Davao del Norte,Asuncion,Public,7.746781,125.735124,EOS_AF1783,62623.3598350196,Madgao River,1126.60212574559
26,405407,Holy Cross of Sta. Maria Inc.,Davao Occidental,Sta. Maria,Private,6.554203,125.4724302,26,405407,Holy Cross of Sta. Maria Inc.,Davao Occidental,Sta. Maria,Private,6.554203,125.4724302,PHL_22,3121.61283805111,,2194.70620522006
